search_batch_id	sample_category	pubmed_id
9125	Blood Cells	27626665
9124	Blood Cells	27626665
9126	Blood Cells	27626665
9122	Other Anatomical Entities	26655833
9121	Brain	27067185
9120	Brain	26923401
9118	Other Anatomical Entities	27601599
9117	Other Anatomical Entities	27601599
9119	Other Anatomical Entities	27601599
9116	Blood Cells	27329341
9115	Ureter	26442468
9114	Blood Cells	27723984
9112	Olfactory	28816642
9113	Olfactory	28816642
9111	Thyroid Gland	28678506
9109	Pituitary Gland	28678506
9110	Thyroid Gland	28678506
9108	Pituitary Gland	28678506
9107	Cancer Cell Lines, Other Female Reproductive Organ	28234478
9106	Cancer Cell Lines, Other Female Reproductive Organ	28234478
9222	Blood Plasma	25624350
9218	Blood Plasma	25624350
9219	Blood Plasma	25624350
9221	Blood Plasma	25624350
9220	Blood Plasma	25624350
9046	Blood Plasma	28007936
9062	Blood Plasma	28007936
9061	Blood Plasma	28007936
9060	Blood Plasma	28007936
9059	Blood Plasma	28007936
9058	Blood Plasma	28007936
9057	Blood Plasma	28007936
9056	Blood Plasma	28007936
9055	Blood Plasma	28007936
9054	Blood Plasma	28007936
9053	Blood Plasma	28007936
9052	Blood Plasma	28007936
9051	Blood Plasma	28007936
9050	Blood Plasma	28007936
9049	Blood Plasma	28007936
9048	Blood Plasma	28007936
9047	Blood Plasma	28007936
9045	Blood Plasma	
9044	Blood Plasma	
9043	Blood Plasma	
9042	Blood Plasma	25850434
9040	Blood Plasma	26444829
9041	Blood Plasma	26444829
9039	Blood Plasma	25686879
9037	Blood Plasma	23991666
9038	Blood Plasma	23991666
9036	Blood Plasma	23991666
9035	Blood Plasma	25686879
9033	Blood Plasma	27234505
9034	Blood Plasma	27234505
9032	Blood Plasma	28223350
9030	Blood Plasma	27738094
9029	Blood Plasma	27738094
9027	Blood Plasma	27738094
9026	Blood Plasma	27738094
9031	Blood Plasma	27738094
9028	Blood Plasma	27738094
8525	Non Cancer Cell Lines	23756949
8522	Non Cancer Cell Lines	23756949
8931	Sperm	27444420
8932	Sperm	27444420
8930	Sperm	27444420
8929	Sperm	27444420
8928	Sperm	27444420
8926	Cancer, Digestive System	24687888
8927	Cancer, Digestive System	24687888
8925	Cancer, Digestive System	24687888
8924	Cancer, Digestive System	24687888
8922	Cancer, Digestive System	24687888
8923	Cancer, Digestive System	24687888
8921	Cancer, Digestive System	24687888
8920	Cancer, Digestive System	24687888
8918	Cancer, Digestive System	24687888
8919	Cancer, Digestive System	24687888
8917	Cancer, Digestive System	24687888
8916	Cancer, Digestive System	24687888
8915	Cancer Cell Lines, Urinary Bladder	27554326
8914	Cancer, Other Male Reproductive Organ	27499020
8913	Blood Cells	27486199
8912	Cancer Cell Lines, Liver	27470094
8911	Cancer Cell Lines, Breast	23770244
8910	Other Anatomical Entities	26437602
8908	Eye	24990792
8909	Eye	24990792
8907	Eye	24990792
8906	Digestive System	24889196
8905	Cancer Cell Lines, Other Male Reproductive Organ	25219547
8904	Brain	26892330
8903	Brain	26892330
8900	Oocyte	27215607
8897	Oocyte	27215607
8901	Oocyte	27215607
8902	Oocyte	27215607
8899	Oocyte	27215607
8898	Oocyte	27215607
8895	Cancer Cell Lines, Digestive System	27470641
8896	Cancer Cell Lines, Digestive System	27470641
8894	Cancer Cell Lines, Digestive System	27470641
8893	Testis	27535590
8891	Testis	27535590
8892	Testis	27535590
8890	Testis	27535590
8889	Testis	27535590
8888	Testis	27535590
8887	Brain	26549206
8886	Cancer Cell Lines, Breast	27485413
8885	Cancer Cell Lines, Breast	27485413
8884	Cancer Cell Lines, Breast	27485413
8883	Cancer Cell Lines, Breast	27485413
8882	Cancer Cell Lines, Ovary	27569743
8704	Cancer Cell Lines, Lung	26202522
8713	Cancer Cell Lines, Lung	26202522
8712	Cancer Cell Lines, Lung	26202522
8711	Cancer Cell Lines, Lung	26202522
8710	Cancer Cell Lines, Lung	26202522
8709	Cancer Cell Lines, Lung	26202522
8708	Cancer Cell Lines, Lung	26202522
8707	Cancer Cell Lines, Lung	26202522
8706	Cancer Cell Lines, Lung	26202522
8705	Cancer Cell Lines, Lung	26202522
8703	Non Cancer Cell Lines	24501219
9728	Cancer Cell Lines, Other Anatomical Entities	25977788
9727	Cancer Cell Lines, Other Anatomical Entities	25977788
9726	Cancer Cell Lines, Blood	25977788
9725	Blood Cells	25977788
9724	Blood Plasma	25977788
9723	Blood Cells	25977788
9722	Cancer Cell Lines, Other Anatomical Entities	25977788
9721	Cancer Cell Lines, Other Anatomical Entities	25977788
9720	Other Anatomical Entities	25977788
9719	Blood Cells	25977788
9718	Lung	25977788
9717	Cancer Cell Lines, Other Male Reproductive Organ	25977788
9716	Digestive System	25977788
9715	Kidney	25977788
9714	Kidney	25977788
9713	Cancer Cell Lines, Other Female Reproductive Organ	25977788
9712	Non Cancer Cell Lines	25977788
9711	Non Cancer Cell Lines	25977788
9709	Non Cancer Cell Lines	25977788
9708	Non Cancer Cell Lines	25977788
9710	Non Cancer Cell Lines	25977788
9707	Cancer Cell Lines, Breast	25977788
9784	Cancer Cell Lines, Kidney	23933261
9757	Cancer Cell Lines, Digestive System	23933261
9756	Cancer Cell Lines, Lung	23933261
9786	Cancer Cell Lines, Kidney	23933261
9783	Cancer Cell Lines, Other Anatomical Entities	23933261
9742	Cancer Cell Lines, Lung	23933261
9788	Cancer Cell Lines, Kidney	23933261
9776	Cancer Cell Lines, Kidney	23933261
9754	Cancer Cell Lines, Lung	23933261
9774	Cancer Cell Lines, Kidney	23933261
9785	Cancer Cell Lines, Other Anatomical Entities	23933261
9762	Cancer Cell Lines, Ovary	23933261
9758	Cancer Cell Lines, Ovary	23933261
9778	Cancer Cell Lines, Kidney	23933261
9780	Cancer Cell Lines, Kidney	23933261
9734	Cancer Cell Lines, Other Anatomical Entities	23933261
9736	Cancer Cell Lines, Other Anatomical Entities	23933261
9730	Cancer Cell Lines, Other Anatomical Entities	23933261
9787	Cancer Cell Lines, Other Anatomical Entities	23933261
9770	Cancer Cell Lines, Other Male Reproductive Organ	23933261
9750	Cancer Cell Lines, Lung	23933261
