search_batch_id	experiment_tag	sample_category	publication_name	pubmed_id	repository_identifiers
9189	Hs_SUMO_Hela	Cancer Cell Lines, Other Female Reproductive Organ	Hendriks et al. (2017)	28112733	PXD004927
9190	Hs_SUMO_U2OS	Cancer Cell Lines, Other Anatomical Entities	Hendriks et al. (2017)	28112733	PXD004927
9188	Hs_Liver-Metastases_FOLFOX	Cancer, Liver	Urdzik et al. (2016)	28248240	PXD001889
9187	Hs_Glioma_Stem_Cells_WCL	Cancer Cell Lines, Brain	Niklasson et al. (2017)	28087597	PXD000970
9186	Hs_Glioma_Stem_Cells_Phospho	Cancer Cell Lines, Brain	Niklasson et al. (2017)	28087597	PXD000970
9185	Hs_HEK293_C2H2-ZF	Non Cancer Cell Lines	Schmitges et al. (2016)	27852650	PXD003431
9184	Hs_Temporal_lobe	Brain	Xu et al. (2016)	26631761	PXD002528
9183	Hs_Cerebrum	Brain	Djuric et al. (2017)	28687556	PXD004076
9181	Human_ImmuneCells-B_plasma_steady	Blood Plasma	Rieckmann et al. (2017)	28263321	PXD004352
9182	Human_ImmuneCells-sups	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9179	Human_ImmuneCells-single_shot_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9180	Human_ImmuneCells-single_shot_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9178	Human_ImmuneCells-Thrombocyte_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9177	Human_ImmuneCells-Th2_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9176	Human_ImmuneCells-Th1_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9175	Human_ImmuneCells-Th17_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9166	Human_ImmuneCells-T4_naive_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9174	Human_ImmuneCells-T8_naive_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9173	Human_ImmuneCells-T8_naive_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9165	Human_ImmuneCells-T4_naive_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9163	Human_ImmuneCells-T4_EMRA_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9162	Human_ImmuneCells-T4_EMRA_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9161	Human_ImmuneCells-T4_EM_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9169	Human_ImmuneCells-T8_EM_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9172	Human_ImmuneCells-T8_EM_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9164	Human_ImmuneCells-T4_EM_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9160	Human_ImmuneCells-T4_CM_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9168	Human_ImmuneCells-T8_CM_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9167	Human_ImmuneCells-T8_CM_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9159	Human_ImmuneCells-T4_CM_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9157	Human_ImmuneCells-nTregs_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9158	Human_ImmuneCells-nTregs_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9156	Human_ImmuneCells-NK_dim_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9155	Human_ImmuneCells-NK_dim_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9153	Human_ImmuneCells-NK_bright_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9154	Human_ImmuneCells-NK_bright_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9152	Human_ImmuneCells-Neutrophil_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9151	Human_ImmuneCells-mTregs_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9150	Human_ImmuneCells-mTregs_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9147	Human_ImmuneCells-MOclassical_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9149	Human_ImmuneCells-MOnoneclassical_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9148	Human_ImmuneCells-MOintermediate_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9146	Human_ImmuneCells-MOclassical_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9145	Human_ImmuneCells-pDC_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9143	Human_ImmuneCells-mDC_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9138	Human_ImmuneCells-B_naive_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9139	Human_ImmuneCells-B_naive_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9137	Human_ImmuneCells-B_memory_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9141	Human_ImmuneCells-Erythrocyte_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9140	Human_ImmuneCells-Eosinophil_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9142	Human_ImmuneCells-mDC_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9144	Human_ImmuneCells-pDC_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9136	Human_ImmuneCells-B_memory_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9135	Human_ImmuneCells-Basophil_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9132	Hs_Proteomic_Ruler_U87-MG	Cancer Cell Lines, Brain	Wisniewski et al. (2014)	25225357	PXD000661
9134	Hs_Proteomic_Ruler_Hela_Silac	Cancer Cell Lines, Other Female Reproductive Organ	Wisniewski et al. (2014)	25225357	PXD000661
9133	Hs_Proteomic_Ruler_Plasma	Blood Plasma	Wisniewski et al. (2014)	25225357	PXD000661
9131	Hs_Proteomic_Ruler_PC-3	Cancer Cell Lines, Other Male Reproductive Organ	Wisniewski et al. (2014)	25225357	PXD000661
9130	Hs_Proteomic_Ruler_Hep-G2	Cancer Cell Lines, Liver	Wisniewski et al. (2014)	25225357	PXD000661
9129	Hs_Proteomic_Ruler_A549	Cancer Cell Lines, Lung	Wisniewski et al. (2014)	25225357	PXD000661
9128	Hs_Anal_Canal_Cancer_Transitional-Zone	Cancer, Digestive System	Herfs et al. (2017)	27976366	PXD004859
9127	Hs_Anal_Canal_Cancer_Squamous-Zone	Cancer, Digestive System	Herfs et al. (2017)	27976366	PXD004859
